"variable","variable_label","value_code","value_label"
"fa_offen","The following series of questions ask your opinion about speech that conveys ideas that are seen as offensive on the basis of immutable characteristics. 

In your opinion, regardless of current First Amendment law, how much protection, if any, should the First Amendment afford the following types of speech? - Speech addressed to a general audience, even if some people find it deeply offensive.",3,"Some protection"
"fa_offen","The following series of questions ask your opinion about speech that conveys ideas that are seen as offensive on the basis of immutable characteristics. 

In your opinion, regardless of current First Amendment law, how much protection, if any, should the First Amendment afford the following types of speech? - Speech addressed to a general audience, even if some people find it deeply offensive.",4,"Complete protection"
"fa_offen","The following series of questions ask your opinion about speech that conveys ideas that are seen as offensive on the basis of immutable characteristics. 

In your opinion, regardless of current First Amendment law, how much protection, if any, should the First Amendment afford the following types of speech? - Speech addressed to a general audience, even if some people find it deeply offensive.",5,"Don’t know / uncertain"
"fa_teach","The following series of questions ask your opinion about speech that conveys ideas that are seen as offensive on the basis of immutable characteristics. 

In your opinion, regardless of current First Amendment law, how much protection, if any, should the First Amendment afford the following types of speech? - Speech that many find offensive but is for discussion, analysis, or teaching (i.e., a pedagogical purpose).",1,"No protection"
"fa_teach","The following series of questions ask your opinion about speech that conveys ideas that are seen as offensive on the basis of immutable characteristics. 

In your opinion, regardless of current First Amendment law, how much protection, if any, should the First Amendment afford the following types of speech? - Speech that many find offensive but is for discussion, analysis, or teaching (i.e., a pedagogical purpose).",2,"Minimal protection"
"fa_teach","The following series of questions ask your opinion about speech that conveys ideas that are seen as offensive on the basis of immutable characteristics. 

In your opinion, regardless of current First Amendment law, how much protection, if any, should the First Amendment afford the following types of speech? - Speech that many find offensive but is for discussion, analysis, or teaching (i.e., a pedagogical purpose).",3,"Some protection"
"fa_teach","The following series of questions ask your opinion about speech that conveys ideas that are seen as offensive on the basis of immutable characteristics. 

In your opinion, regardless of current First Amendment law, how much protection, if any, should the First Amendment afford the following types of speech? - Speech that many find offensive but is for discussion, analysis, or teaching (i.e., a pedagogical purpose).",4,"Complete protection"
"fa_teach","The following series of questions ask your opinion about speech that conveys ideas that are seen as offensive on the basis of immutable characteristics. 

In your opinion, regardless of current First Amendment law, how much protection, if any, should the First Amendment afford the following types of speech? - Speech that many find offensive but is for discussion, analysis, or teaching (i.e., a pedagogical purpose).",5,"Don’t know / uncertain"
"fa_emot","The following series of questions ask your opinion about speech that conveys ideas that are seen as offensive on the basis of immutable characteristics. 

In your opinion, regardless of current First Amendment law, how much protection, if any, should the First Amendment afford the following types of speech? - Speech for which the only harm is emotional or psychological discomfort.",1,"No protection"
"fa_emot","The following series of questions ask your opinion about speech that conveys ideas that are seen as offensive on the basis of immutable characteristics. 

In your opinion, regardless of current First Amendment law, how much protection, if any, should the First Amendment afford the following types of speech? - Speech for which the only harm is emotional or psychological discomfort.",2,"Minimal protection"
"fa_emot","The following series of questions ask your opinion about speech that conveys ideas that are seen as offensive on the basis of immutable characteristics. 

In your opinion, regardless of current First Amendment law, how much protection, if any, should the First Amendment afford the following types of speech? - Speech for which the only harm is emotional or psychological discomfort.",3,"Some protection"
"fa_emot","The following series of questions ask your opinion about speech that conveys ideas that are seen as offensive on the basis of immutable characteristics. 

In your opinion, regardless of current First Amendment law, how much protection, if any, should the First Amendment afford the following types of speech? - Speech for which the only harm is emotional or psychological discomfort.",4,"Complete protection"
"fa_emot","The following series of questions ask your opinion about speech that conveys ideas that are seen as offensive on the basis of immutable characteristics. 

In your opinion, regardless of current First Amendment law, how much protection, if any, should the First Amendment afford the following types of speech? - Speech for which the only harm is emotional or psychological discomfort.",5,"Don’t know / uncertain"
"fa_unrest","The following series of questions ask your opinion about speech that conveys ideas that are seen as offensive on the basis of immutable characteristics. 

In your opinion, regardless of current First Amendment law, how much protection, if any, should the First Amendment afford the following types of speech? - Speech that provokes anger, protest, or unrest, but does not call for violence.",1,"No protection"
"fa_unrest","The following series of questions ask your opinion about speech that conveys ideas that are seen as offensive on the basis of immutable characteristics. 

In your opinion, regardless of current First Amendment law, how much protection, if any, should the First Amendment afford the following types of speech? - Speech that provokes anger, protest, or unrest, but does not call for violence.",2,"Minimal protection"
"fa_unrest","The following series of questions ask your opinion about speech that conveys ideas that are seen as offensive on the basis of immutable characteristics. 

In your opinion, regardless of current First Amendment law, how much protection, if any, should the First Amendment afford the following types of speech? - Speech that provokes anger, protest, or unrest, but does not call for violence.",3,"Some protection"
"fa_unrest","The following series of questions ask your opinion about speech that conveys ideas that are seen as offensive on the basis of immutable characteristics. 

In your opinion, regardless of current First Amendment law, how much protection, if any, should the First Amendment afford the following types of speech? - Speech that provokes anger, protest, or unrest, but does not call for violence.",4,"Complete protection"
"fa_unrest","The following series of questions ask your opinion about speech that conveys ideas that are seen as offensive on the basis of immutable characteristics. 

In your opinion, regardless of current First Amendment law, how much protection, if any, should the First Amendment afford the following types of speech? - Speech that provokes anger, protest, or unrest, but does not call for violence.",5,"Don’t know / uncertain"
"scotus_harass","The Supreme Court has defined hostile environment harassment in educational settings as conduct (including expression) that is severe, pervasive, and objectively offensive. Do you believe the Court’s definition of expression that may be punished as harassment is too narrow, too broad, or strikes an appropriate balance?",1,"Definitely too narrow"
"scotus_harass","The Supreme Court has defined hostile environment harassment in educational settings as conduct (including expression) that is severe, pervasive, and objectively offensive. Do you believe the Court’s definition of expression that may be punished as harassment is too narrow, too broad, or strikes an appropriate balance?",2,"Probably too narrow"
"scotus_harass","The Supreme Court has defined hostile environment harassment in educational settings as conduct (including expression) that is severe, pervasive, and objectively offensive. Do you believe the Court’s definition of expression that may be punished as harassment is too narrow, too broad, or strikes an appropriate balance?",3,"Strikes an appropriate balance–is neither too narrow nor too broad"
"scotus_harass","The Supreme Court has defined hostile environment harassment in educational settings as conduct (including expression) that is severe, pervasive, and objectively offensive. Do you believe the Court’s definition of expression that may be punished as harassment is too narrow, too broad, or strikes an appropriate balance?",4,"Probably too broad"
"scotus_harass","The Supreme Court has defined hostile environment harassment in educational settings as conduct (including expression) that is severe, pervasive, and objectively offensive. Do you believe the Court’s definition of expression that may be punished as harassment is too narrow, too broad, or strikes an appropriate balance?",5,"Definitely too broad"
"scotus_harass","The Supreme Court has defined hostile environment harassment in educational settings as conduct (including expression) that is severe, pervasive, and objectively offensive. Do you believe the Court’s definition of expression that may be punished as harassment is too narrow, too broad, or strikes an appropriate balance?",6,"Don’t know / uncertain"
"obama_harass","The Department of Education, during the Obama Administration, issued guidance pressuring schools to address “unwelcome conduct” (including expression) as hostile environment harassment. Do you believe the Obama Administration's guidance for expression that may be punished as harassment was too narrow, too broad, or struck an appropriate balance?",1,"Definitely too narrow"
"obama_harass","The Department of Education, during the Obama Administration, issued guidance pressuring schools to address “unwelcome conduct” (including expression) as hostile environment harassment. Do you believe the Obama Administration's guidance for expression that may be punished as harassment was too narrow, too broad, or struck an appropriate balance?",2,"Probably too narrow"
"obama_harass","The Department of Education, during the Obama Administration, issued guidance pressuring schools to address “unwelcome conduct” (including expression) as hostile environment harassment. Do you believe the Obama Administration's guidance for expression that may be punished as harassment was too narrow, too broad, or struck an appropriate balance?",3,"Struck an appropriate balance–was neither too narrow nor too broad"
"obama_harass","The Department of Education, during the Obama Administration, issued guidance pressuring schools to address “unwelcome conduct” (including expression) as hostile environment harassment. Do you believe the Obama Administration's guidance for expression that may be punished as harassment was too narrow, too broad, or struck an appropriate balance?",4,"Probably too broad"
"obama_harass","The Department of Education, during the Obama Administration, issued guidance pressuring schools to address “unwelcome conduct” (including expression) as hostile environment harassment. Do you believe the Obama Administration's guidance for expression that may be punished as harassment was too narrow, too broad, or struck an appropriate balance?",5,"Definitely too broad"
"obama_harass","The Department of Education, during the Obama Administration, issued guidance pressuring schools to address “unwelcome conduct” (including expression) as hostile environment harassment. Do you believe the Obama Administration's guidance for expression that may be punished as harassment was too narrow, too broad, or struck an appropriate balance?",6,"Don’t know / uncertain"
"priority","In your opinion, which (if either) is a greater priority? Promoting equality and inclusion, or protecting free expression?",1,"Promoting equality and inclusion"
"priority","In your opinion, which (if either) is a greater priority? Promoting equality and inclusion, or protecting free expression?",2,"Protecting free expression"
"priority","In your opinion, which (if either) is a greater priority? Promoting equality and inclusion, or protecting free expression?",3,"Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority"
"priority","In your opinion, which (if either) is a greater priority? Promoting equality and inclusion, or protecting free expression?",4,"Don’t know / uncertain"
"direction","Is American legal education generally on the right track, or heading in the wrong direction?",1,"Right track"
"direction","Is American legal education generally on the right track, or heading in the wrong direction?",2,"Wrong direction"
"studentcon","Within the context of classroom speech, how often, if at all, should students be able to express views related to course material that other students find controversial?",1,"Never"
"studentcon","Within the context of classroom speech, how often, if at all, should students be able to express views related to course material that other students find controversial?",2,"Rarely"
"studentcon","Within the context of classroom speech, how often, if at all, should students be able to express views related to course material that other students find controversial?",3,"Sometimes"
"studentcon","Within the context of classroom speech, how often, if at all, should students be able to express views related to course material that other students find controversial?",4,"Often"
"studentcon","Within the context of classroom speech, how often, if at all, should students be able to express views related to course material that other students find controversial?",5,"Always"
"facoffen","How acceptable, if at all, is it for law faculty to use offensive language in pedagogically relevant hypotheticals in class?",1,"Completely unacceptable"
"facoffen","How acceptable, if at all, is it for law faculty to use offensive language in pedagogically relevant hypotheticals in class?",2,"Mostly unacceptable"
"facoffen","How acceptable, if at all, is it for law faculty to use offensive language in pedagogically relevant hypotheticals in class?",3,"Neither acceptable nor unacceptable"
"facoffen","How acceptable, if at all, is it for law faculty to use offensive language in pedagogically relevant hypotheticals in class?",4,"Mostly acceptable"
"facoffen","How acceptable, if at all, is it for law faculty to use offensive language in pedagogically relevant hypotheticals in class?",5,"Completely acceptable"
"facquote","How acceptable, if at all, is it for law faculty to quote directly from judicial opinions, historical cases, or other legal materials that contain offensive language?",1,"Completely unacceptable"
"facquote","How acceptable, if at all, is it for law faculty to quote directly from judicial opinions, historical cases, or other legal materials that contain offensive language?",2,"Mostly unacceptable"
"facquote","How acceptable, if at all, is it for law faculty to quote directly from judicial opinions, historical cases, or other legal materials that contain offensive language?",3,"Neither acceptable nor unacceptable"
"facquote","How acceptable, if at all, is it for law faculty to quote directly from judicial opinions, historical cases, or other legal materials that contain offensive language?",4,"Mostly acceptable"
"facquote","How acceptable, if at all, is it for law faculty to quote directly from judicial opinions, historical cases, or other legal materials that contain offensive language?",5,"Completely acceptable"
"faccomf","How comfortable, if at all, are you discussing topics that students might find offensive or controversial?",1,"Very uncomfortable"
"faccomf","How comfortable, if at all, are you discussing topics that students might find offensive or controversial?",2,"Somewhat uncomfortable"
"faccomf","How comfortable, if at all, are you discussing topics that students might find offensive or controversial?",3,"Neither comfortable nor uncomfortable"
"faccomf","How comfortable, if at all, are you discussing topics that students might find offensive or controversial?",4,"Somewhat comfortable"
"faccomf","How comfortable, if at all, are you discussing topics that students might find offensive or controversial?",5,"Very comfortable"
"train_knowl","How important or unimportant is it to train law students on the following: - To acquire legal knowledge.",1,"Very unimportant"
"train_knowl","How important or unimportant is it to train law students on the following: - To acquire legal knowledge.",2,"Somewhat unimportant"
"train_knowl","How important or unimportant is it to train law students on the following: - To acquire legal knowledge.",3,"Neither important nor unimportant"
"train_knowl","How important or unimportant is it to train law students on the following: - To acquire legal knowledge.",4,"Somewhat important"
"train_knowl","How important or unimportant is it to train law students on the following: - To acquire legal knowledge.",5,"Very important"
"train_norms","How important or unimportant is it to train law students on the following: - To adhere to professional norms and acculturation.",1,"Very unimportant"
"train_norms","How important or unimportant is it to train law students on the following: - To adhere to professional norms and acculturation.",2,"Somewhat unimportant"
"train_norms","How important or unimportant is it to train law students on the following: - To adhere to professional norms and acculturation.",3,"Neither important nor unimportant"
"train_norms","How important or unimportant is it to train law students on the following: - To adhere to professional norms and acculturation.",4,"Somewhat important"
"train_norms","How important or unimportant is it to train law students on the following: - To adhere to professional norms and acculturation.",5,"Very important"
"train_prac","How important or unimportant is it to train law students on the following: - To think practically.",1,"Very unimportant"
"train_prac","How important or unimportant is it to train law students on the following: - To think practically.",2,"Somewhat unimportant"
"train_prac","How important or unimportant is it to train law students on the following: - To think practically.",3,"Neither important nor unimportant"
"train_prac","How important or unimportant is it to train law students on the following: - To think practically.",4,"Somewhat important"
"train_prac","How important or unimportant is it to train law students on the following: - To think practically.",5,"Very important"
"train_phil","How important or unimportant is it to train law students on the following: - To think philosophically.",1,"Very unimportant"
"train_phil","How important or unimportant is it to train law students on the following: - To think philosophically.",2,"Somewhat unimportant"
"train_phil","How important or unimportant is it to train law students on the following: - To think philosophically.",3,"Neither important nor unimportant"
"train_phil","How important or unimportant is it to train law students on the following: - To think philosophically.",4,"Somewhat important"
"train_phil","How important or unimportant is it to train law students on the following: - To think philosophically.",5,"Very important"
"train_skill","How important or unimportant is it to train law students on the following: - To practice legal skills.",1,"Very unimportant"
"train_skill","How important or unimportant is it to train law students on the following: - To practice legal skills.",2,"Somewhat unimportant"
"train_skill","How important or unimportant is it to train law students on the following: - To practice legal skills.",3,"Neither important nor unimportant"
"train_skill","How important or unimportant is it to train law students on the following: - To practice legal skills.",4,"Somewhat important"
"train_skill","How important or unimportant is it to train law students on the following: - To practice legal skills.",5,"Very important"
"train_const","How important or unimportant is it to train law students on the following: - To support and defend the Constitution.",1,"Very unimportant"
"train_const","How important or unimportant is it to train law students on the following: - To support and defend the Constitution.",2,"Somewhat unimportant"
"train_const","How important or unimportant is it to train law students on the following: - To support and defend the Constitution.",3,"Neither important nor unimportant"
"train_const","How important or unimportant is it to train law students on the following: - To support and defend the Constitution.",4,"Somewhat important"
"train_const","How important or unimportant is it to train law students on the following: - To support and defend the Constitution.",5,"Very important"
"train_rule","How important or unimportant is it to train law students on the following: - To support and defend the rule of law.",1,"Very unimportant"
"train_rule","How important or unimportant is it to train law students on the following: - To support and defend the rule of law.",2,"Somewhat unimportant"
"train_rule","How important or unimportant is it to train law students on the following: - To support and defend the rule of law.",3,"Neither important nor unimportant"
"train_rule","How important or unimportant is it to train law students on the following: - To support and defend the rule of law.",4,"Somewhat important"
"train_rule","How important or unimportant is it to train law students on the following: - To support and defend the rule of law.",5,"Very important"
"train_disag","How important or unimportant is it to train law students on the following: - To disagree respectfully.",1,"Very unimportant"
"train_disag","How important or unimportant is it to train law students on the following: - To disagree respectfully.",2,"Somewhat unimportant"
"train_disag","How important or unimportant is it to train law students on the following: - To disagree respectfully.",3,"Neither important nor unimportant"
"train_disag","How important or unimportant is it to train law students on the following: - To disagree respectfully.",4,"Somewhat important"
"train_disag","How important or unimportant is it to train law students on the following: - To disagree respectfully.",5,"Very important"
"train_engage","How important or unimportant is it to train law students on the following: - To engage across partisan and ideological divides.",1,"Very unimportant"
"train_engage","How important or unimportant is it to train law students on the following: - To engage across partisan and ideological divides.",2,"Somewhat unimportant"
"train_engage","How important or unimportant is it to train law students on the following: - To engage across partisan and ideological divides.",3,"Neither important nor unimportant"
"train_engage","How important or unimportant is it to train law students on the following: - To engage across partisan and ideological divides.",4,"Somewhat important"
"train_engage","How important or unimportant is it to train law students on the following: - To engage across partisan and ideological divides.",5,"Very important"
"sup_session","How much, if at all, do you support or oppose the following at your law school? - A mandatory session for all law students on the importance of freedom of speech.",1,"Strongly oppose this"
"sup_session","How much, if at all, do you support or oppose the following at your law school? - A mandatory session for all law students on the importance of freedom of speech.",2,"Somewhat oppose this"
"sup_session","How much, if at all, do you support or oppose the following at your law school? - A mandatory session for all law students on the importance of freedom of speech.",3,"Neither oppose nor support"
"sup_session","How much, if at all, do you support or oppose the following at your law school? - A mandatory session for all law students on the importance of freedom of speech.",4,"Somewhat support this"
"sup_session","How much, if at all, do you support or oppose the following at your law school? - A mandatory session for all law students on the importance of freedom of speech.",5,"Strongly support this"
"sup_acadpol","How much, if at all, do you support or oppose the following at your law school? - Adopting written policies that protect academic freedom.",1,"Strongly oppose this"
"sup_acadpol","How much, if at all, do you support or oppose the following at your law school? - Adopting written policies that protect academic freedom.",2,"Somewhat oppose this"
"sup_acadpol","How much, if at all, do you support or oppose the following at your law school? - Adopting written policies that protect academic freedom.",3,"Neither oppose nor support"
"sup_acadpol","How much, if at all, do you support or oppose the following at your law school? - Adopting written policies that protect academic freedom.",4,"Somewhat support this"
"sup_acadpol","How much, if at all, do you support or oppose the following at your law school? - Adopting written policies that protect academic freedom.",5,"Strongly support this"
"sup_exprpol","How much, if at all, do you support or oppose the following at your law school? - Adopting written policies that encourage the free expression of ideas.",1,"Strongly oppose this"
"sup_exprpol","How much, if at all, do you support or oppose the following at your law school? - Adopting written policies that encourage the free expression of ideas.",2,"Somewhat oppose this"
"sup_exprpol","How much, if at all, do you support or oppose the following at your law school? - Adopting written policies that encourage the free expression of ideas.",3,"Neither oppose nor support"
"sup_exprpol","How much, if at all, do you support or oppose the following at your law school? - Adopting written policies that encourage the free expression of ideas.",4,"Somewhat support this"
"sup_exprpol","How much, if at all, do you support or oppose the following at your law school? - Adopting written policies that encourage the free expression of ideas.",5,"Strongly support this"
"sup_event","How much, if at all, do you support or oppose the following at your law school? - Law school-sponsored events to debate controversial ideas.",1,"Strongly oppose this"
"sup_event","How much, if at all, do you support or oppose the following at your law school? - Law school-sponsored events to debate controversial ideas.",2,"Somewhat oppose this"
"sup_event","How much, if at all, do you support or oppose the following at your law school? - Law school-sponsored events to debate controversial ideas.",3,"Neither oppose nor support"
"sup_event","How much, if at all, do you support or oppose the following at your law school? - Law school-sponsored events to debate controversial ideas.",4,"Somewhat support this"
"sup_event","How much, if at all, do you support or oppose the following at your law school? - Law school-sponsored events to debate controversial ideas.",5,"Strongly support this"
"judgeideo","How justified or unjustified is it for judges to not hire law clerks from law schools the judge perceives to be ideologically biased?",1,"Extremely unjustified"
"judgeideo","How justified or unjustified is it for judges to not hire law clerks from law schools the judge perceives to be ideologically biased?",2,"Unjustified"
"judgeideo","How justified or unjustified is it for judges to not hire law clerks from law schools the judge perceives to be ideologically biased?",3,"Somewhat unjustified"
"judgeideo","How justified or unjustified is it for judges to not hire law clerks from law schools the judge perceives to be ideologically biased?",4,"Neither justified nor unjustified"
"judgeideo","How justified or unjustified is it for judges to not hire law clerks from law schools the judge perceives to be ideologically biased?",5,"Somewhat justified"
"judgeideo","How justified or unjustified is it for judges to not hire law clerks from law schools the judge perceives to be ideologically biased?",6,"Justified"
"judgeideo","How justified or unjustified is it for judges to not hire law clerks from law schools the judge perceives to be ideologically biased?",7,"Extremely justified"
"judgeT14","How justified or unjustified is it for judges to not hire law clerks from Ivy League and T14 law schools because they perceive these schools to lack diverse legal thought?",1,"Extremely unjustified"
"judgeT14","How justified or unjustified is it for judges to not hire law clerks from Ivy League and T14 law schools because they perceive these schools to lack diverse legal thought?",2,"Unjustified"
"judgeT14","How justified or unjustified is it for judges to not hire law clerks from Ivy League and T14 law schools because they perceive these schools to lack diverse legal thought?",3,"Somewhat unjustified"
"judgeT14","How justified or unjustified is it for judges to not hire law clerks from Ivy League and T14 law schools because they perceive these schools to lack diverse legal thought?",4,"Neither justified nor unjustified"
"judgeT14","How justified or unjustified is it for judges to not hire law clerks from Ivy League and T14 law schools because they perceive these schools to lack diverse legal thought?",5,"Somewhat justified"
"judgeT14","How justified or unjustified is it for judges to not hire law clerks from Ivy League and T14 law schools because they perceive these schools to lack diverse legal thought?",6,"Justified"
"judgeT14","How justified or unjustified is it for judges to not hire law clerks from Ivy League and T14 law schools because they perceive these schools to lack diverse legal thought?",7,"Extremely justified"
"judgeview","How do you personally view judges’ decision making in the United States?",1,"Judges are entirely politically motivated."
"judgeview","How do you personally view judges’ decision making in the United States?",2,"Judges are mostly politically motivated."
"judgeview","How do you personally view judges’ decision making in the United States?",3,"Judges are a mix of politically motivated and politically neutral."
"judgeview","How do you personally view judges’ decision making in the United States?",4,"Judges are mostly politically neutral."
"judgeview","How do you personally view judges’ decision making in the United States?",5,"Judges are completely politically neutral."
"judgeview","How do you personally view judges’ decision making in the United States?",6,"Don’t know / unsure."
"judgeteach","In your teaching, how do you generally characterize judges’ decision making in the United States?",1,"Judges are entirely politically motivated."
"judgeteach","In your teaching, how do you generally characterize judges’ decision making in the United States?",2,"Judges are mostly politically motivated."
"judgeteach","In your teaching, how do you generally characterize judges’ decision making in the United States?",3,"Judges are a mix of politically motivated and politically neutral."
"judgeteach","In your teaching, how do you generally characterize judges’ decision making in the United States?",4,"Judges are mostly politically neutral."
"judgeteach","In your teaching, how do you generally characterize judges’ decision making in the United States?",5,"Judges are completely politically neutral."
"judgeteach","In your teaching, how do you generally characterize judges’ decision making in the United States?",6,"I don’t characterize judges’ decision making as either politically motivated or politically neutral."
"spmargin","Freedom of speech helps marginalized groups in society be heard.",1,"Strongly oppose this position"
"spmargin","Freedom of speech helps marginalized groups in society be heard.",2,"Somewhat oppose this position"
"spmargin","Freedom of speech helps marginalized groups in society be heard.",3,"Neither oppose nor support"
"spmargin","Freedom of speech helps marginalized groups in society be heard.",4,"Somewhat support this position"
"spmargin","Freedom of speech helps marginalized groups in society be heard.",5,"Strongly support this position"
"spdiff","Generally, having different points of view, including those that some consider offensive, promotes healthy debate in society.",1,"Strongly oppose this position"
"spdiff","Generally, having different points of view, including those that some consider offensive, promotes healthy debate in society.",2,"Somewhat oppose this position"
"spdiff","Generally, having different points of view, including those that some consider offensive, promotes healthy debate in society.",3,"Neither oppose nor support"
"spdiff","Generally, having different points of view, including those that some consider offensive, promotes healthy debate in society.",4,"Somewhat support this position"
"spdiff","Generally, having different points of view, including those that some consider offensive, promotes healthy debate in society.",5,"Strongly support this position"
"deihire","Some universities require applicants for faculty positions to submit statements articulating actions and efforts they’ve made (or will make) related to diversity, equity, and inclusion before being considered for a job. How justifiable, if at all, is this requirement?",1,"This is never justifiable"
"deihire","Some universities require applicants for faculty positions to submit statements articulating actions and efforts they’ve made (or will make) related to diversity, equity, and inclusion before being considered for a job. How justifiable, if at all, is this requirement?",2,"This is rarely justifiable"
"deihire","Some universities require applicants for faculty positions to submit statements articulating actions and efforts they’ve made (or will make) related to diversity, equity, and inclusion before being considered for a job. How justifiable, if at all, is this requirement?",3,"This is sometimes justifiable"
"deihire","Some universities require applicants for faculty positions to submit statements articulating actions and efforts they’ve made (or will make) related to diversity, equity, and inclusion before being considered for a job. How justifiable, if at all, is this requirement?",4,"This is often justifiable"
"deihire","Some universities require applicants for faculty positions to submit statements articulating actions and efforts they’ve made (or will make) related to diversity, equity, and inclusion before being considered for a job. How justifiable, if at all, is this requirement?",5,"This is always justifiable"
"deitenure","Some universities require faculty statements on diversity, equity, and inclusion in order to be considered for promotion/tenure. How justifiable, if at all, is this requirement?",1,"This is never justifiable"
"deitenure","Some universities require faculty statements on diversity, equity, and inclusion in order to be considered for promotion/tenure. How justifiable, if at all, is this requirement?",2,"This is rarely justifiable"
"deitenure","Some universities require faculty statements on diversity, equity, and inclusion in order to be considered for promotion/tenure. How justifiable, if at all, is this requirement?",3,"This is sometimes justifiable"
"deitenure","Some universities require faculty statements on diversity, equity, and inclusion in order to be considered for promotion/tenure. How justifiable, if at all, is this requirement?",4,"This is often justifiable"
"deitenure","Some universities require faculty statements on diversity, equity, and inclusion in order to be considered for promotion/tenure. How justifiable, if at all, is this requirement?",5,"This is always justifiable"
"polclimate","Do you feel that there is a supportive or hostile climate towards people with your political beliefs in your law school?",1,"Very hostile"
